13,1
17,2
19,5
20,13
21,13
22,17
23,10
24,12
25,19
26,21
27,15
28,10
29,12
30,15
31,6
32,80
33,21
34,16
35,19
36,21
37,26
38,20
39,54
40,25
41,34
42,33
43,55
44,44
45,52
46,61
47,77
48,47
49,40
50,62
51,76
52,99
53,81
54,91
55,93
56,103
57,118
58,84
59,132
60,112
61,126
62,127
63,129
64,158
65,149
66,184
67,205
68,212
69,200
70,235
71,213
72,203
73,184
74,231
75,223
76,241
77,238
78,262
79,217
80,240
81,260
82,242
83,281
84,248
85,246
86,254
87,267
88,288
89,253
90,274
91,251
92,239
93,256
94,239
95,258
96,205
97,242
98,241
99,233
100,230
101,220
102,221
103,237
104,230
105,224
106,223
107,188
108,224
109,212
110,209
111,216
112,194
113,204
114,217
115,213
116,238
117,193
118,238
119,206
120,226
121,235
122,212
123,191
124,218
125,190
126,208
127,211
128,179
129,215
130,200
131,193
132,169
133,201
134,163
135,175
136,192
137,191
138,183
139,168
140,177
141,181
142,187
143,185
144,177
145,184
146,195
147,183
148,194
149,167
150,159
151,165
152,170
153,181
154,170
155,171
156,158
157,171
158,162
159,149
160,153
161,174
162,142
163,157
164,136
165,133
166,133
167,135
168,159
169,140
170,140
171,156
172,124
173,115
174,111
175,130
176,122
177,114
178,125
179,102
180,106
181,122
182,128
183,112
184,123
185,113
186,106
187,113
188,127
189,105
190,106
191,119
192,111
193,88
194,100
195,77
196,110
197,109
198,103
199,78
200,82
201,81
202,93
203,89
204,86
205,76
206,77
207,80
208,87
209,64
210,99
211,55
212,55
213,75
214,71
215,69
216,69
217,57
218,76
219,52
220,56
221,42
222,39
223,61
224,48
225,37
226,39
227,41
228,43
229,63
230,47
231,54
232,48
233,37
234,41
235,39
236,43
237,50
238,28
239,30
240,41
241,43
242,36
243,32
244,31
245,27
246,44
247,37
248,30
249,30
250,37
251,23
252,28
253,33
254,26
255,22
256,22
257,32
258,22
259,21
260,20
261,19
262,24
263,28
264,19
265,16
266,22
267,20
268,16
269,17
270,13
271,15
272,8
273,15
274,14
275,17
276,17
277,11
278,18
279,18
280,18
281,12
282,10
283,15
284,16
285,10
286,11
287,9
288,12
289,16
290,12
291,11
292,7
293,11
294,12
295,5
296,7
297,6
298,8
299,8
300,9
301,5
302,2
303,7
304,11
305,18
306,7
307,3
308,3
309,3
310,5
311,7
312,5
313,5
314,3
315,4
316,9
317,7
318,7
319,2
320,7
321,3
322,4
323,4
324,4
325,1
326,1
327,6
328,6
329,4
330,6
331,4
333,2
335,3
337,1
339,1
341,2
342,3
343,3
344,2
345,4
346,1
347,2
348,1
349,1
350,2
351,1
353,1
354,1
355,1
357,2
358,5
360,2
361,1
363,1
364,1
366,1
372,1
373,3
375,1
377,1
379,1
380,1
383,1
387,1
391,1
392,1
394,2
395,1
398,1
406,1
407,1
409,1
414,1
419,1
423,1
425,1
431,1
444,1
